City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
297,rongelap,11.1635,166.8941,28.56,83,79,9.07,MH,1724677962
298,usinsk,65.9939,57.5281,21.03,49,4,6.55,RU,1724677823
299,viedma,-40.8135,-62.9967,9.52,49,95,9.72,AR,1724677316
300,dodge city,37.7528,-100.0171,22.14,73,0,3.09,US,1724677966
301,suntar,62.1444,117.6319,11.75,72,97,1.67,RU,1724677967
302,hovd,48.0056,91.6419,20.66,32,100,0.95,MN,1724677909
303,kharp,66.8014,65.8081,18.83,63,0,3.97,RU,1724677970
304,kolonia town,6.964,158.206,26.0,94,20,0.0,FM,1724677971
305,takoradi,4.8845,-1.7554,25.68,81,100,5.1,GH,1724677900
306,flying fish cove,-10.4217,105.6791,24.82,88,100,5.66,CX,1724677974
307,aitape,-3.1374,142.3475,25.71,91,100,3.49,PG,1724677975
308,weno,7.4515,151.8468,29.0,74,12,3.88,FM,1724677977
309,yuxia,34.0615,108.6291,27.61,58,78,3.68,CN,1724677979
310,tambopata,-12.7333,-69.1833,17.94,55,0,1.54,PE,1724677981
311,ylitornio,66.3089,23.6773,15.84,70,40,7.18,FI,1724677982
312,pangody,65.85,74.4859,19.53,55,20,4.01,RU,1724677983
313,souillac,-20.5167,57.5167,22.21,64,75,7.72,MU,1724677985
314,maceio,-9.6658,-35.7353,27.69,65,75,5.66,BR,1724677986
315,mossel bay,-34.1831,22.146,24.96,49,100,9.66,ZA,1724677988
316,hami,42.8,93.45,32.11,24,100,2.69,CN,1724677989
317,vorgashor,67.5833,63.95,18.98,56,56,5.09,RU,1724677748
318,ndibene dahra,15.3338,-15.4766,32.2,56,54,3.95,SN,1724677992
319,krasnoturansk,54.3186,91.5639,14.23,69,14,3.08,RU,1724677993
320,hailar,49.2,119.7,15.79,68,0,2.73,CN,1724677994
321,bambamarca,-6.6833,-78.5333,12.29,85,87,1.76,PE,1724677996
322,burang,30.25,81.1667,9.34,79,100,2.11,CN,1724677997
323,harper,4.375,-7.7169,25.65,78,90,4.43,LR,1724678000
324,rikaze,29.25,88.8833,13.67,58,99,4.46,CN,1724678001
325,kayangel,8.0823,134.7173,29.3,71,0,1.75,PW,1724678003
326,safi,32.1667,-8.8333,35.04,21,0,4.85,MA,1724678004
327,bikenibeu village,1.3673,173.1241,27.98,89,20,1.03,KI,1724678005
328,alofi,-19.0595,-169.9187,23.94,94,100,2.06,NU,1724678007
329,shinkafi,13.0753,6.5105,26.92,77,100,6.25,NG,1724678008
330,onega,63.9061,38.1404,19.26,49,0,2.87,RU,1724678009
331,tarko-sale,64.9225,77.785,19.17,56,17,5.01,RU,1724678011
332,saint albans,51.75,-0.3333,23.51,55,2,5.58,GB,1724677954
333,orcopampa,-15.2661,-72.3417,9.99,40,2,1.37,PE,1724678013
334,fuyu,45.1833,124.8167,17.43,85,0,2.48,CN,1724678015
335,newman,37.3138,-121.0208,16.83,78,10,1.34,US,1724678016
336,itapirapua,-15.8233,-50.6133,23.66,25,0,4.94,BR,1724678018
337,princeville,45.7668,-61.2985,20.94,89,75,2.57,CA,1724678019
338,stow,41.1595,-81.4404,25.07,84,40,2.06,US,1724678020
339,tsiombe,-25.3,45.4833,28.7,28,0,2.6,MG,1724678022
340,patong,7.8961,98.2966,27.79,92,100,5.99,TH,1724678023
341,podporozh'ye,60.9112,34.1706,22.09,37,0,4.29,RU,1724677778
342,nogliki,51.8333,143.1667,14.24,82,100,1.62,RU,1724678026
343,machico,32.7,-16.7667,26.51,64,40,9.26,PT,1724678027
344,port lavaca,28.615,-96.6261,26.84,89,100,4.4,US,1724678030
345,mawu,29.5923,107.3139,26.22,71,99,1.38,CN,1724678031
346,oamaru,-45.0784,170.9801,8.54,95,100,6.88,NZ,1724678033
347,superior,46.7208,-92.1041,23.54,91,100,0.0,US,1724678034
348,orchard homes,46.8633,-114.0484,8.25,86,0,1.54,US,1724678035
349,kuala belait,4.5833,114.1833,26.06,87,100,2.28,BN,1724678037
350,bandarbeyla,9.4942,50.8122,29.62,59,32,12.12,SO,1724678038
351,yengema,8.7167,-11.1667,27.13,68,88,1.26,SL,1724678039
352,yerofey pavlovich,53.9667,121.9667,12.51,83,69,1.55,RU,1724678041
353,kerikeri,-35.2268,173.9474,11.99,97,21,1.63,NZ,1724678043
354,boa vista,2.8197,-60.6733,28.99,65,0,4.12,BR,1724678045
355,cill airne,52.05,-9.5167,17.03,82,75,7.72,IE,1724678046
356,argo,37.6333,22.7333,32.66,27,0,9.08,GR,1724678047
357,labrador city,52.9463,-66.9114,18.95,72,20,1.03,CA,1724678049
358,crane,31.3974,-102.3501,24.16,68,6,4.43,US,1724677802
359,broome,42.2506,-75.833,20.09,92,0,0.0,US,1724678051
360,phek,25.6667,94.5,20.57,98,32,0.91,IN,1724678053
361,hadibu,12.65,54.0333,30.23,59,100,7.18,YE,1724678054
362,maues,-3.3836,-57.7186,31.92,41,27,2.01,BR,1724678056
363,sitangkai,4.6628,119.3928,28.87,73,62,3.33,PH,1724678057
364,malyye derbety,47.9547,44.6808,32.46,25,88,4.25,RU,1724678058
365,cuatro cienegas de carranza,26.9833,-102.0833,23.35,69,0,1.44,MX,1724678060
366,queenstown,-31.8976,26.8753,24.6,10,92,12.91,ZA,1724678061
367,homer,59.6425,-151.5483,7.65,93,0,2.06,US,1724678062
368,malvan,16.0667,73.4667,27.06,86,100,8.6,IN,1724678064
369,shingu,33.7333,135.9833,26.35,92,100,3.48,JP,1724677902
370,vredendal,-31.6683,18.5012,18.17,63,91,8.04,ZA,1724678068
371,mchinji,-13.7984,32.8802,27.6,16,39,3.36,MW,1724678069
372,chengde,40.9725,117.9361,17.96,93,0,1.0,CN,1724678071
373,castanos,26.7833,-101.4167,25.51,66,0,2.22,MX,1724678027
374,i-n-salah,27.1935,2.4607,42.55,11,4,3.62,DZ,1724678073
375,mount isa,-20.7333,139.5,25.87,25,0,4.63,AU,1724678076
376,ierapetra,35.01,25.7353,28.04,59,5,2.54,GR,1724677870
377,paredon,16.0333,-93.8667,26.84,77,100,2.29,MX,1724678079
378,dostpur,26.2833,82.4667,29.41,73,12,3.26,IN,1724678080
379,naberera,-4.2,36.9333,25.57,35,99,5.43,TZ,1724678081
380,laguna,38.421,-121.4238,17.08,72,0,0.0,US,1724678083
381,qaisumah,28.3112,46.1273,46.98,11,20,4.12,SA,1724678084
382,nishinoomote,30.7333,131.0,28.88,80,99,9.88,JP,1724677909
383,minas de marcona,-15.2119,-75.1103,11.66,76,32,5.43,PE,1724678087
384,ujae,8.9322,165.7642,28.64,81,100,5.77,MH,1724678088
385,ola,59.5833,151.2833,10.47,94,100,4.04,RU,1724678090
386,mana,5.6592,-53.7767,28.49,67,98,3.2,GF,1724678091
